K2 ID,Campaign,Object type,RA (J2000),Dec (J2000),Target Type,Investigation ID,KEP Mag,Kep Flag,Module,Output,Channel
integer,integer,substring,ra,dec,ustring,string,float,string,integer,integer,integer
210570493,4,STAR,03 34 25.824,+16 31 46.39,LC,GO4006,15.776,JHK,23,1,77
210570535,4,STAR,03 29 19.669,+16 31 48.18,LC,GO4060,15.068,gri,23,4,80
210570660,4,STAR,04 00 57.330,+16 31 55.15,LC,GO4007_GO4033,12.313,gri,12,2,38
210570669,4,STAR,03 56 47.605,+16 31 56.00,LC,GO4006_GO4011_GO4020_GO4097,14.495,JHK,12,1,37
210570696,4,STAR,04 01 10.535,+16 31 57.05,LC,GO4007_GO4020_GO4029_GO4033,12.768,gri,12,2,38
210570711,4,STAR,03 59 35.642,+16 31 57.81,LC,GO4007_GO4020_GO4029_GO4033_GO4060_GO4104_GO4106,11.451,gri,12,1,37
210570733,4,STAR,03 28 29.626,+16 31 58.88,LC,GO4020,13.220,gri,23,4,80
210570828,4,STAR,03 29 59.316,+16 32 04.89,LC,GO4007_GO4020_GO4060,14.023,gri,23,4,80
210570970,4,STAR,04 02 13.963,+16 32 12.06,LC,GO4020_GO4104,10.923,gri,12,2,38
210571013,4,STAR,03 54 57.629,+16 32 14.40,LC,GO4020,13.109,gri,12,1,37
210571085,4,STAR,04 03 04.849,+16 32 18.27,LC,GO4007_GO4029_GO4033_GO4060_GO4104,11.452,gri,12,2,38
210571322,4,STAR,03 37 01.783,+16 32 29.33,LC,GO4007_GO4023_GO4033_GO4060_GO4064_GO4104,9.383,BV,23,1,77
210571595,4,STAR,04 00 48.434,+16 32 42.58,LC,GO4020,12.670,gri,12,2,38
210571656,4,STAR,03 57 37.145,+16 32 45.70,LC,GO4007_GO4029_GO4033_GO4104,11.718,gri,12,1,37
210571706,4,STAR,03 35 31.646,+16 32 48.22,LC,GO4007_GO4029_GO4033_GO4052_GO4060_GO4104,11.186,gri,23,1,77
210571707,4,STAR,03 46 49.721,+16 32 48.28,LC,GO4007_GO4029_GO4033_GO4060_GO4106,12.684,gri,18,3,63
210571720,4,STAR,03 49 19.686,+16 32 49.02,LC,GO4020_GO4104,11.914,gri,18,2,62
210572013,4,STAR,04 03 41.951,+16 33 05.87,LC,GO4007_GO4029_GO4033,11.219,gri,12,2,38
210572047,4,STAR,03 28 30.072,+16 33 07.53,LC,GO4007_GO4029_GO4033_GO4060_GO4106,12.262,gri,23,4,80
210572096,4,STAR,04 02 59.179,+16 33 11.39,LC,GO4007_GO4029_GO4033,12.114,gri,12,2,38
210572283,4,STAR,04 04 57.644,+16 33 19.83,LC,GO4007_GO4029_GO4033,12.755,gri,12,2,38
210572288,4,STAR,03 58 58.883,+16 33 20.14,LC,GO4007_GO4020,13.072,gri,12,1,37
210572467,4,STAR,03 48 17.208,+16 33 29.65,LC,GO4007_GO4029_GO4033_GO4060_GO4104,10.562,gri,18,2,62
210572584,4,STAR,04 03 30.629,+16 33 35.56,LC,GO4007_GO4020_GO4033,12.893,gri,12,2,38
210572669,4,STAR,03 38 19.727,+16 33 40.57,LC,GO4020,11.023,gri,23,2,78
210572796,4,STAR,03 42 50.980,+16 33 46.99,LC,GO4006_GO4007_GO4020_GO4060,13.474,gri,18,3,63
210572899,4,STAR,03 49 39.054,+16 33 53.18,LC,GO4007_GO4029_GO4033,12.507,gri,18,2,62
210572900,4,STAR,03 36 44.842,+16 33 53.31,LC,GO4006_GO4054_GO4060,15.123,gri,23,1,77
210573053,4,STAR,03 56 45.208,+16 34 01.86,LC,GO4007_GO4029_GO4033_GO4060_GO4083_GO4096_GO4104,10.283,gri,12,1,37
210573133,4,STAR,04 05 18.614,+16 34 06.63,LC,GO4007_GO4029_GO4033,12.265,gri,12,2,38
210573210,4,STAR,04 02 37.432,+16 34 10.60,LC,GO4020,12.936,gri,12,2,38
210573232,4,STAR,04 05 19.057,+16 34 11.99,LC,GO4007_GO4020_GO4033,12.750,JHK,12,2,38
210573261,4,STAR,03 29 51.504,+16 34 13.25,LC,GO4020_GO4089_GO4104,11.628,gri,23,4,80
210573341,4,STAR,03 44 52.462,+16 34 18.02,LC,GO4020,12.381,gri,18,3,63
210573512,4,STAR,04 02 53.311,+16 34 27.63,LC,GO4020,12.595,gri,12,2,38
210573537,4,STAR,03 37 26.090,+16 34 29.12,LC,GO4020,11.456,gri,23,1,77
210573564,4,STAR,03 29 30.966,+16 34 30.59,LC,GO4020_GO4052_GO4104,11.451,gri,23,4,80
210573611,4,STAR,04 00 42.296,+16 34 33.15,LC,GO4020,12.672,gri,12,2,38
210573835,4,STAR,03 49 42.078,+16 34 46.06,LC,GO4020,11.625,gri,18,2,62
210574080,4,STAR,04 04 19.020,+16 35 00.55,LC,GO4007_GO4029_GO4033,12.698,gri,12,2,38
210574086,4,STAR,03 36 57.460,+16 35 00.74,LC,GO4007_GO4029_GO4033,12.302,gri,23,1,77
210574135,4,STAR,03 45 20.678,+16 35 03.41,LC,GO4007_GO4029_GO4033,12.459,gri,18,3,63
210574290,4,STAR,03 43 58.040,+16 35 11.61,LC,GO4020,13.372,gri,18,3,63
210574376,4,STAR,03 35 10.572,+16 35 16.59,LC,GO4097,15.980,JHK,23,1,77
210574566,4,STAR,03 43 07.543,+16 35 26.39,LC,GO4020,12.121,gri,18,3,63
210574585,4,STAR,03 38 39.095,+16 35 27.10,LC,GO4020_GO4089,12.737,gri,23,2,78
210574623,4,STAR,03 32 22.862,+16 35 29.14,LC,GO4020,12.881,gri,23,4,80
210574681,4,STAR,03 48 19.217,+16 35 32.63,LC,GO4020,12.799,gri,18,2,62
210574709,4,STAR,04 01 37.585,+16 35 34.05,LC,GO4006_GO4011_GO4020_GO4060,14.420,gri,12,2,38
210574742,4,STAR,04 04 34.331,+16 35 35.76,LC,GO4007_GO4020_GO4060,13.735,gri,12,2,38
210574795,4,STAR,03 49 47.309,+16 35 38.31,LC,GO4007_GO4029_GO4033,12.960,gri,18,2,62
210574837,4,STAR,03 38 52.278,+16 35 40.41,LC,GO4011_GO4097,15.166,JHK,23,2,78
210575024,4,STAR,03 33 30.013,+16 35 51.06,LC,GO4006_GO4011_GO4020_GO4097,14.437,JHK,23,4,80
210575071,4,STAR,03 57 58.964,+16 35 53.08,LC,GO4020_GO4104,11.041,gri,12,1,37
210575130,4,STAR,03 57 23.522,+16 35 55.88,LC,GO4007_GO4029_GO4033,10.809,gri,12,1,37
210575191,4,STAR,04 04 14.344,+16 35 59.82,LC,GO4020,12.667,gri,12,2,38
210575372,4,STAR,03 33 09.900,+16 36 09.48,LC,GO4020_GO4102,10.721,gri,23,4,80
210575420,4,STAR,03 59 46.003,+16 36 11.74,LC,GO4046,15.745,JHK,12,1,37
