filename EPIC Module Output Kp
210600000/56000/ktwo210656499-c04_lpd-targ.fits.gz 210656499 2 1 10.42
210600000/56000/ktwo210656707-c04_lpd-targ.fits.gz 210656707 2 1 11.056
210600000/52000/ktwo210652440-c04_lpd-targ.fits.gz 210652440 2 1 11.411
210600000/62000/ktwo210662432-c04_lpd-targ.fits.gz 210662432 2 1 15.528
210600000/46000/ktwo210646017-c04_lpd-targ.fits.gz 210646017 2 1 12.926
210600000/28000/ktwo210628687-c04_lpd-targ.fits.gz 210628687 2 1 10.628
210600000/29000/ktwo210629028-c04_lpd-targ.fits.gz 210629028 2 1 12.732
210600000/93000/ktwo210693497-c04_lpd-targ.fits.gz 210693497 2 1 12.135
210600000/26000/ktwo210626816-c04_lpd-targ.fits.gz 210626816 2 1 14.486
210600000/46000/ktwo210646286-c04_lpd-targ.fits.gz 210646286 2 1 12.962
210600000/73000/ktwo210673167-c04_lpd-targ.fits.gz 210673167 2 1 12.308
210600000/42000/ktwo210642858-c04_lpd-targ.fits.gz 210642858 2 1 12.709
210600000/34000/ktwo210634104-c04_lpd-targ.fits.gz 210634104 2 1 12.558
210600000/48000/ktwo210648519-c04_lpd-targ.fits.gz 210648519 2 1 12.982
210600000/53000/ktwo210653320-c04_lpd-targ.fits.gz 210653320 2 1 14.964
210600000/50000/ktwo210650633-c04_lpd-targ.fits.gz 210650633 2 1 12.758
210600000/38000/ktwo210638307-c04_lpd-targ.fits.gz 210638307 2 1 11.346
210600000/66000/ktwo210666042-c04_lpd-targ.fits.gz 210666042 2 1 14.17
210600000/51000/ktwo210651393-c04_lpd-targ.fits.gz 210651393 2 1 11.066
210600000/74000/ktwo210674052-c04_lpd-targ.fits.gz 210674052 2 1 12.928
210600000/44000/ktwo210644824-c04_lpd-targ.fits.gz 210644824 2 1 12.646
210600000/41000/ktwo210641555-c04_lpd-targ.fits.gz 210641555 2 1 11.072
210600000/49000/ktwo210649298-c04_lpd-targ.fits.gz 210649298 2 1 13.506
210600000/44000/ktwo210644816-c04_lpd-targ.fits.gz 210644816 2 1 12.583
210600000/39000/ktwo210639253-c04_lpd-targ.fits.gz 210639253 2 1 13.026
210600000/16000/ktwo210616557-c04_lpd-targ.fits.gz 210616557 2 1 15.943
210600000/42000/ktwo210642859-c04_lpd-targ.fits.gz 210642859 2 1 12.825
210600000/33000/ktwo210633891-c04_lpd-targ.fits.gz 210633891 2 1 11.747
210600000/24000/ktwo210624910-c04_lpd-targ.fits.gz 210624910 2 1 12.631
210600000/66000/ktwo210666556-c04_lpd-targ.fits.gz 210666556 2 1 15.049
210600000/74000/ktwo210674696-c04_lpd-targ.fits.gz 210674696 2 1 12.889
210600000/56000/ktwo210656623-c04_lpd-targ.fits.gz 210656623 2 1 12.549
210600000/17000/ktwo210617543-c04_lpd-targ.fits.gz 210617543 2 1 12.051
210600000/13000/ktwo210613581-c04_lpd-targ.fits.gz 210613581 2 1 10.971
210600000/23000/ktwo210623298-c04_lpd-targ.fits.gz 210623298 2 1 12.278
210600000/13000/ktwo210613396-c04_lpd-targ.fits.gz 210613396 2 1 10.021
210600000/33000/ktwo210633586-c04_lpd-targ.fits.gz 210633586 2 1 15.498
210600000/16000/ktwo210616446-c04_lpd-targ.fits.gz 210616446 2 1 10.155
210600000/25000/ktwo210625258-c04_lpd-targ.fits.gz 210625258 2 1 13.321
210600000/70000/ktwo210670969-c04_lpd-targ.fits.gz 210670969 2 1 11.957
210500000/98000/ktwo210598493-c04_lpd-targ.fits.gz 210598493 2 1 14.437
210600000/48000/ktwo210648780-c04_lpd-targ.fits.gz 210648780 2 1 10.348
210600000/69000/ktwo210669058-c04_lpd-targ.fits.gz 210669058 2 1 11.356
210600000/73000/ktwo210673515-c04_lpd-targ.fits.gz 210673515 2 1 13.287
210600000/38000/ktwo210638821-c04_lpd-targ.fits.gz 210638821 2 1 11.839
210600000/95000/ktwo210695994-c04_lpd-targ.fits.gz 210695994 2 1 12.414
210600000/41000/ktwo210641629-c04_lpd-targ.fits.gz 210641629 2 1 10.403
210600000/67000/ktwo210667186-c04_lpd-targ.fits.gz 210667186 2 1 11.729
210600000/42000/ktwo210642128-c04_lpd-targ.fits.gz 210642128 2 1 13.075
210600000/55000/ktwo210655711-c04_lpd-targ.fits.gz 210655711 2 1 12.369
210600000/82000/ktwo210682130-c04_lpd-targ.fits.gz 210682130 2 1 12.808
210600000/63000/ktwo210663943-c04_lpd-targ.fits.gz 210663943 2 1 11.818
210600000/52000/ktwo210652163-c04_lpd-targ.fits.gz 210652163 2 1 13.035
210600000/20000/ktwo210620793-c04_lpd-targ.fits.gz 210620793 2 1 12.055
210600000/35000/ktwo210635702-c04_lpd-targ.fits.gz 210635702 2 1 12.887
210600000/60000/ktwo210660264-c04_lpd-targ.fits.gz 210660264 2 1 12.403
210600000/05000/ktwo210605458-c04_lpd-targ.fits.gz 210605458 2 1 14.818
210600000/34000/ktwo210634270-c04_lpd-targ.fits.gz 210634270 2 1 15.681
210600000/53000/ktwo210653306-c04_lpd-targ.fits.gz 210653306 2 1 11.055
210600000/41000/ktwo210641379-c04_lpd-targ.fits.gz 210641379 2 1 10.745
210600000/27000/ktwo210627805-c04_lpd-targ.fits.gz 210627805 2 1 11.975
